"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1903.93";"1597.61";"1430.64";"715.318";"-227.226";"-951.966";"384.163";"1.55579e-307";
"-1896.47";"1595.04";"1429.6";"714.798";"-226.121";"-948.235";"385.61";"1.55579e-307";
"-1890.12";"1592.91";"1428.54";"714.269";"-225.055";"-945.061";"386.849";"1.55579e-307";
"-1882.36";"1590.84";"1427.23";"713.616";"-224.041";"-941.181";"387.84";"1.55579e-307";
"-1877.21";"1589.54";"1426.1";"713.051";"-223.071";"-938.606";"388.624";"1.55579e-307";
"-1871.42";"1589.04";"1424.39";"712.196";"-222.146";"-935.71";"389.216";"1.55579e-307";
"-1867.37";"1588.98";"1422.51";"711.254";"-221.279";"-933.687";"389.576";"1.55579e-307";
"-1862.97";"1589.87";"1419.75";"709.873";"-220.458";"-931.485";"389.763";"1.55579e-307";
"-1859.92";"1589.99";"1416.89";"708.447";"-219.692";"-929.958";"389.741";"1.55579e-307";
"-1856.32";"1590.2";"1412.38";"706.188";"-218.969";"-928.159";"389.565";"1.55579e-307";
"-1853.29";"1590.25";"1407.86";"703.929";"-218.295";"-926.643";"389.212";"1.55579e-307";
"-1850.15";"1592.56";"1401.04";"700.521";"-217.652";"-925.074";"388.728";"1.55579e-307";
"-1847.21";"1594.38";"1394.25";"697.124";"-217.043";"-923.606";"388.1";"1.55579e-307";
"-1844.3";"1598.03";"1385.12";"692.559";"-216.451";"-922.149";"387.368";"1.55579e-307";
"-1842.82";"1602.78";"1375.63";"687.817";"-215.873";"-921.409";"386.527";"1.55579e-307";
"-1840.47";"1607.17";"1362.19";"681.095";"-215.294";"-920.237";"385.62";"1.55579e-307";
"-1839.24";"1609.35";"1350.38";"675.192";"-214.701";"-919.619";"384.641";"1.55579e-307";
"-1836.24";"1613.21";"1334.45";"667.227";"-214.086";"-918.12";"383.623";"1.55579e-307";
"-1834.1";"1615.58";"1319.88";"659.942";"-213.436";"-917.052";"382.565";"1.55579e-307";
"-1831.32";"1618.65";"1300.66";"650.332";"-212.746";"-915.659";"381.488";"1.55579e-307";
